Learning Rate: 0.1, alpha: None
Epoch 1, Training Loss: 0.1794, Training Accuracy: 72.096%
Epoch 2, Training Loss: 0.1503, Training Accuracy: 91.257%
Epoch 3, Training Loss: 0.2232, Training Accuracy: 92.575%
Epoch 4, Training Loss: 0.2724, Training Accuracy: 93.234%
Epoch 5, Training Loss: 0.1122, Training Accuracy: 95.329%
Epoch 6, Training Loss: 0.1398, Training Accuracy: 95.689%
Epoch 7, Training Loss: 0.0449, Training Accuracy: 97.784%
Epoch 8, Training Loss: 0.1041, Training Accuracy: 98.084%
Epoch 9, Training Loss: 0.0309, Training Accuracy: 98.323%
Epoch 10, Training Loss: 0.1224, Training Accuracy: 97.126%
Epoch 11, Training Loss: 0.0445, Training Accuracy: 97.725%
Epoch 12, Training Loss: 0.0718, Training Accuracy: 97.006%
Epoch 13, Training Loss: 0.0403, Training Accuracy: 98.024%
Epoch 14, Training Loss: 0.1044, Training Accuracy: 98.743%
Epoch 15, Training Loss: 0.0072, Training Accuracy: 98.683%
Epoch 16, Training Loss: 0.0707, Training Accuracy: 98.683%
Epoch 17, Training Loss: 0.0464, Training Accuracy: 98.263%
Epoch 18, Training Loss: 0.0724, Training Accuracy: 98.443%
Epoch 19, Training Loss: 0.0826, Training Accuracy: 97.904%
Epoch 20, Training Loss: 0.0804, Training Accuracy: 99.102%
Epoch 21, Training Loss: 0.1240, Training Accuracy: 99.042%
Epoch 22, Training Loss: 0.0638, Training Accuracy: 98.683%
Epoch 23, Training Loss: 0.0074, Training Accuracy: 99.162%
Epoch 24, Training Loss: 0.0795, Training Accuracy: 99.042%
Epoch 25, Training Loss: 0.0046, Training Accuracy: 98.383%
Epoch 26, Training Loss: 0.1971, Training Accuracy: 98.263%
Epoch 27, Training Loss: 0.1104, Training Accuracy: 96.467%
Epoch 28, Training Loss: 0.0102, Training Accuracy: 99.042%
Epoch 29, Training Loss: 0.0025, Training Accuracy: 99.162%
Epoch 30, Training Loss: 0.1326, Training Accuracy: 99.461%
The best model for 0.1, None has been saved!
Learning Rate: 0.1, alpha: 0.5
Epoch 1, Training Loss: 0.3269, Training Accuracy: 92.661%
Epoch 2, Training Loss: 5.0089, Training Accuracy: 83.897%
Epoch 3, Training Loss: 4.2359, Training Accuracy: 78.511%
Epoch 4, Training Loss: 31.4770, Training Accuracy: 59.952%
Epoch 5, Training Loss: 4.0284, Training Accuracy: 66.235%
Epoch 6, Training Loss: 3.9664, Training Accuracy: 73.258%
Epoch 7, Training Loss: 0.5359, Training Accuracy: 87.012%
Epoch 8, Training Loss: 1.7894, Training Accuracy: 87.249%
Epoch 9, Training Loss: 2.4397, Training Accuracy: 78.881%
Epoch 10, Training Loss: 1.0161, Training Accuracy: 87.381%
Epoch 11, Training Loss: 5.2999, Training Accuracy: 84.213%
Epoch 12, Training Loss: 2.3815, Training Accuracy: 81.785%
Epoch 13, Training Loss: 0.7002, Training Accuracy: 87.276%
Epoch 14, Training Loss: 1.0508, Training Accuracy: 88.490%
Epoch 15, Training Loss: 0.5785, Training Accuracy: 86.748%
Epoch 16, Training Loss: 0.9603, Training Accuracy: 91.922%
Epoch 17, Training Loss: 2.2369, Training Accuracy: 87.540%
Epoch 18, Training Loss: 1.1730, Training Accuracy: 83.765%
Epoch 19, Training Loss: 1.4542, Training Accuracy: 88.754%
Epoch 20, Training Loss: 0.9994, Training Accuracy: 86.932%
Epoch 21, Training Loss: 0.8679, Training Accuracy: 88.490%
Epoch 22, Training Loss: 1.2681, Training Accuracy: 86.325%
Epoch 23, Training Loss: 1.2875, Training Accuracy: 87.830%
Epoch 24, Training Loss: 1.7528, Training Accuracy: 90.523%
Epoch 25, Training Loss: 1.2742, Training Accuracy: 85.797%
Epoch 26, Training Loss: 1.1861, Training Accuracy: 87.144%
Epoch 27, Training Loss: 1.4208, Training Accuracy: 89.018%
Epoch 28, Training Loss: 1.8883, Training Accuracy: 85.850%
Epoch 29, Training Loss: 0.6822, Training Accuracy: 90.813%
Epoch 30, Training Loss: 0.7933, Training Accuracy: 90.470%
The best model for 0.1, 0.5 has been saved!
Learning Rate: 0.1, alpha: 0.01
Epoch 1, Training Loss: 0.8455, Training Accuracy: 76.082%
Epoch 2, Training Loss: 0.7495, Training Accuracy: 90.338%
Epoch 3, Training Loss: 0.2738, Training Accuracy: 94.799%
Epoch 4, Training Loss: 0.4376, Training Accuracy: 94.588%
Epoch 5, Training Loss: 0.3588, Training Accuracy: 96.595%
Epoch 6, Training Loss: 0.5063, Training Accuracy: 95.803%
Epoch 7, Training Loss: 0.3137, Training Accuracy: 96.621%
Epoch 8, Training Loss: 0.4403, Training Accuracy: 96.410%
Epoch 9, Training Loss: 0.1459, Training Accuracy: 97.386%
Epoch 10, Training Loss: 0.2335, Training Accuracy: 97.466%
Epoch 11, Training Loss: 0.0823, Training Accuracy: 96.595%
Epoch 12, Training Loss: 0.2417, Training Accuracy: 98.205%
Epoch 13, Training Loss: 0.8508, Training Accuracy: 97.730%
Epoch 14, Training Loss: 0.8203, Training Accuracy: 97.254%
Epoch 15, Training Loss: 0.6533, Training Accuracy: 97.809%
Epoch 16, Training Loss: 0.2274, Training Accuracy: 97.914%
Epoch 17, Training Loss: 0.0704, Training Accuracy: 97.994%
Epoch 18, Training Loss: 0.3735, Training Accuracy: 98.390%
Epoch 19, Training Loss: 0.4871, Training Accuracy: 98.205%
Epoch 20, Training Loss: 0.2924, Training Accuracy: 97.677%
Epoch 21, Training Loss: 0.1357, Training Accuracy: 98.522%
Epoch 22, Training Loss: 0.1186, Training Accuracy: 98.522%
Epoch 23, Training Loss: 0.5359, Training Accuracy: 98.205%
Epoch 24, Training Loss: 0.0734, Training Accuracy: 98.970%
Epoch 25, Training Loss: 1.0886, Training Accuracy: 98.812%
Epoch 26, Training Loss: 0.1899, Training Accuracy: 98.865%
Epoch 27, Training Loss: 0.1477, Training Accuracy: 98.627%
Epoch 28, Training Loss: 0.4494, Training Accuracy: 97.914%
Epoch 29, Training Loss: 0.0162, Training Accuracy: 99.287%
Epoch 30, Training Loss: 0.0910, Training Accuracy: 98.020%
The best model for 0.1, 0.01 has been saved!
Learning Rate: 0.1, alpha: 0.05
Epoch 1, Training Loss: 1.1402, Training Accuracy: 79.963%
Epoch 2, Training Loss: 0.7579, Training Accuracy: 88.543%
Epoch 3, Training Loss: 0.9045, Training Accuracy: 92.582%
Epoch 4, Training Loss: 0.8857, Training Accuracy: 90.813%
Epoch 5, Training Loss: 1.0336, Training Accuracy: 93.189%
Epoch 6, Training Loss: 0.2521, Training Accuracy: 95.433%
Epoch 7, Training Loss: 2.0648, Training Accuracy: 95.380%
Epoch 8, Training Loss: 0.4891, Training Accuracy: 94.351%
Epoch 9, Training Loss: 0.4555, Training Accuracy: 95.961%
Epoch 10, Training Loss: 0.8342, Training Accuracy: 95.803%
Epoch 11, Training Loss: 0.3663, Training Accuracy: 96.172%
Epoch 12, Training Loss: 0.4572, Training Accuracy: 95.539%
Epoch 13, Training Loss: 0.2651, Training Accuracy: 95.407%
Epoch 14, Training Loss: 0.3060, Training Accuracy: 96.595%
Epoch 15, Training Loss: 0.6215, Training Accuracy: 96.278%
Epoch 16, Training Loss: 0.4554, Training Accuracy: 95.723%
Epoch 17, Training Loss: 0.2390, Training Accuracy: 97.122%
Epoch 18, Training Loss: 0.7228, Training Accuracy: 96.515%
Epoch 19, Training Loss: 0.2013, Training Accuracy: 96.225%
Epoch 20, Training Loss: 1.0384, Training Accuracy: 95.935%
Epoch 21, Training Loss: 0.3649, Training Accuracy: 95.618%
Epoch 22, Training Loss: 0.3665, Training Accuracy: 95.697%
Epoch 23, Training Loss: 0.7175, Training Accuracy: 97.439%
Epoch 24, Training Loss: 0.2443, Training Accuracy: 97.307%
Epoch 25, Training Loss: 0.4869, Training Accuracy: 96.436%
Epoch 26, Training Loss: 0.2955, Training Accuracy: 97.888%
Epoch 27, Training Loss: 0.2237, Training Accuracy: 97.017%
Epoch 28, Training Loss: 1.2327, Training Accuracy: 97.228%
Epoch 29, Training Loss: 0.5431, Training Accuracy: 94.958%
Epoch 30, Training Loss: 0.8491, Training Accuracy: 95.723%
The best model for 0.1, 0.05 has been saved!
Learning Rate: 0.01, alpha: None
Epoch 1, Training Loss: 0.0010, Training Accuracy: 99.940%
Epoch 2, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 3, Training Loss: 0.0001, Training Accuracy: 99.940%
Epoch 4, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 5, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 6, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 7, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 8, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 9, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 10, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 11, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 12, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 13, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 14, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 15, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 16, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 17, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 18, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 19, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 20, Training Loss: 0.0012, Training Accuracy: 100.000%
Epoch 21, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 22, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 23, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 24, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 25, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 26, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 27, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 28, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 29, Training Loss: 0.0024, Training Accuracy: 100.000%
Epoch 30, Training Loss: 0.0001, Training Accuracy: 100.000%
The best model for 0.01, None has been saved!
Learning Rate: 0.01, alpha: 0.5
Epoch 1, Training Loss: 1.3536, Training Accuracy: 78.749%
Epoch 2, Training Loss: 1.2163, Training Accuracy: 80.993%
Epoch 3, Training Loss: 1.2936, Training Accuracy: 86.880%
Epoch 4, Training Loss: 0.9191, Training Accuracy: 85.084%
Epoch 5, Training Loss: 0.8874, Training Accuracy: 89.678%
Epoch 6, Training Loss: 0.8969, Training Accuracy: 86.932%
Epoch 7, Training Loss: 0.9335, Training Accuracy: 89.229%
